"cohort_start_date","renewal_date","cohort_size","cohort_size_at_renewal","plan","amount","currency","cohort_age_months","retention_rate"
"2019-01-01 00:00:00+01","2019-05-01 00:00:00+02","8","3","MEDIUM","12.95","EUR","4","0.38"
"2019-01-01 00:00:00+01","2019-06-01 00:00:00+02","8","3","MEDIUM","12.95","EUR","5","0.38"
"2019-01-01 00:00:00+01","2019-07-01 00:00:00+02","8","3","MEDIUM","12.95","EUR","6","0.38"
"2019-01-01 00:00:00+01","2019-08-01 00:00:00+02","8","2","MEDIUM","12.95","EUR","7","0.25"
"2019-01-01 00:00:00+01","2019-09-01 00:00:00+02","8","2","MEDIUM","12.95","EUR","8","0.25"
"2019-01-01 00:00:00+01","2019-10-01 00:00:00+02","8","2","MEDIUM","12.95","EUR","9","0.25"
"2019-01-01 00:00:00+01","2019-11-01 00:00:00+01","8","2","MEDIUM","12.95","EUR","10","0.25"
"2019-01-01 00:00:00+01","2019-12-01 00:00:00+01","8","1","MEDIUM","12.95","EUR","11","0.13"
"2019-01-01 00:00:00+01","2020-01-01 00:00:00+01","8","1","MEDIUM","12.95","EUR","12","0.13"
"2019-01-01 00:00:00+01","2020-02-01 00:00:00+01","8","1","MEDIUM","12.95","EUR","13","0.13"
"2019-01-01 00:00:00+01","2020-03-01 00:00:00+01","8","1","MEDIUM","12.95","EUR","14","0.13"
"2019-01-01 00:00:00+01","2020-04-01 00:00:00+02","8","1","MEDIUM","12.95","EUR","15","0.13"
"2019-01-01 00:00:00+01","2019-01-01 00:00:00+01","7","7","MEDIUM","14.95","USD","0","1.00"
"2019-01-01 00:00:00+01","2019-02-01 00:00:00+01","7","7","MEDIUM","14.95","USD","1","1.00"
"2019-01-01 00:00:00+01","2019-03-01 00:00:00+01","7","6","MEDIUM","14.95","USD","2","0.86"
"2019-01-01 00:00:00+01","2019-04-01 00:00:00+02","7","5","MEDIUM","14.95","USD","3","0.71"
"2019-01-01 00:00:00+01","2019-05-01 00:00:00+02","7","5","MEDIUM","14.95","USD","4","0.71"
"2019-01-01 00:00:00+01","2019-06-01 00:00:00+02","7","5","MEDIUM","14.95","USD","5","0.71"
"2019-01-01 00:00:00+01","2019-07-01 00:00:00+02","7","5","MEDIUM","14.95","USD","6","0.71"
"2019-01-01 00:00:00+01","2019-08-01 00:00:00+02","7","5","MEDIUM","14.95","USD","7","0.71"
"2019-01-01 00:00:00+01","2019-09-01 00:00:00+02","7","5","MEDIUM","14.95","USD","8","0.71"
"2019-01-01 00:00:00+01","2019-10-01 00:00:00+02","7","5","MEDIUM","14.95","USD","9","0.71"
"2019-01-01 00:00:00+01","2019-11-01 00:00:00+01","7","5","MEDIUM","14.95","USD","10","0.71"
"2019-01-01 00:00:00+01","2019-12-01 00:00:00+01","7","5","MEDIUM","14.95","USD","11","0.71"
"2019-01-01 00:00:00+01","2020-01-01 00:00:00+01","7","5","MEDIUM","14.95","USD","12","0.71"
"2019-01-01 00:00:00+01","2020-02-01 00:00:00+01","7","5","MEDIUM","14.95","USD","13","0.71"
"2019-01-01 00:00:00+01","2020-03-01 00:00:00+01","7","4","MEDIUM","14.95","USD","14","0.57"
"2019-01-01 00:00:00+01","2020-04-01 00:00:00+02","7","4","MEDIUM","14.95","USD","15","0.57"
"2019-01-01 00:00:00+01","2020-05-01 00:00:00+02","7","3","MEDIUM","14.95","USD","16","0.43"
"2019-01-01 00:00:00+01","2020-06-01 00:00:00+02","7","3","MEDIUM","14.95","USD","17","0.43"
"2019-01-01 00:00:00+01","2020-07-01 00:00:00+02","7","3","MEDIUM","14.95","USD","18","0.43"
"2019-01-01 00:00:00+01","2020-08-01 00:00:00+02","7","3","MEDIUM","14.95","USD","19","0.43"
"2019-01-01 00:00:00+01","2020-09-01 00:00:00+02","7","3","MEDIUM","14.95","USD","20","0.43"
"2019-01-01 00:00:00+01","2020-10-01 00:00:00+02","7","2","MEDIUM","14.95","USD","21","0.29"
"2019-01-01 00:00:00+01","2020-11-01 00:00:00+01","7","2","MEDIUM","14.95","USD","22","0.29"
"2019-01-01 00:00:00+01","2020-12-01 00:00:00+01","7","2","MEDIUM","14.95","USD","23","0.29"
"2019-01-01 00:00:00+01","2019-01-01 00:00:00+01","1","1","LARGE","15.95","EUR","0","1.00"
"2019-01-01 00:00:00+01","2019-02-01 00:00:00+01","1","1","LARGE","15.95","EUR","1","1.00"
"2019-01-01 00:00:00+01","2019-03-01 00:00:00+01","1","1","LARGE","15.95","EUR","2","1.00"
"2019-01-01 00:00:00+01","2019-04-01 00:00:00+02","1","1","LARGE","15.95","EUR","3","1.00"
"2019-01-01 00:00:00+01","2019-05-01 00:00:00+02","1","1","LARGE","15.95","EUR","4","1.00"
"2019-01-01 00:00:00+01","2019-06-01 00:00:00+02","1","1","LARGE","15.95","EUR","5","1.00"
"2019-01-01 00:00:00+01","2019-01-01 00:00:00+01","2","2","LARGE","18.95","USD","0","1.00"
"2019-01-01 00:00:00+01","2019-02-01 00:00:00+01","2","2","LARGE","18.95","USD","1","1.00"
"2019-01-01 00:00:00+01","2019-03-01 00:00:00+01","2","2","LARGE","18.95","USD","2","1.00"
"2019-01-01 00:00:00+01","2019-04-01 00:00:00+02","2","1","LARGE","18.95","USD","3","0.50"
"2019-01-01 00:00:00+01","2019-05-01 00:00:00+02","2","1","LARGE","18.95","USD","4","0.50"
"2019-01-01 00:00:00+01","2019-06-01 00:00:00+02","2","1","LARGE","18.95","USD","5","0.50"
"2019-02-01 00:00:00+01","2019-02-01 00:00:00+01","20","20","SMALL","8.95","EUR","0","1.00"
"2019-02-01 00:00:00+01","2019-03-01 00:00:00+01","20","20","SMALL","8.95","EUR","1","1.00"
"2019-02-01 00:00:00+01","2019-04-01 00:00:00+02","20","16","SMALL","8.95","EUR","2","0.80"
